[ 2023-08-30 21:06:16,663 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 21:06:16,668 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 21:06:21,375 ] 13 root -  vectorization paths are created
[ 2023-08-30 21:06:21,403 ] 10 root - data ingest started!
[ 2023-08-30 21:06:21,404 ] 15 root - paths are created for data
[ 2023-08-30 21:06:21,525 ] 186 werkzeug - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[ 2023-08-30 21:06:21,525 ] 186 werkzeug - [33mPress CTRL+C to quit[0m
[ 2023-08-30 21:06:21,527 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 21:06:22,844 ] 13 root -  vectorization paths are created
[ 2023-08-30 21:06:22,871 ] 10 root - data ingest started!
[ 2023-08-30 21:06:22,871 ] 15 root - paths are created for data
[ 2023-08-30 21:06:22,978 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 21:06:22,981 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 21:06:33,903 ] 20 root - data paths created !
[ 2023-08-30 21:06:33,904 ] 24 root - enter the data ingestion part 2
[ 2023-08-30 21:06:34,179 ] 26 root - data has read sucessfuly
[ 2023-08-30 21:06:34,182 ] 41 root - dataframe had created sucessfuly
[ 2023-08-30 21:06:34,183 ] 43 root - directory has created
[ 2023-08-30 21:06:35,001 ] 47 root - data ingest sucessfully
[ 2023-08-30 21:06:35,005 ] 19 root - entered data transformation
[ 2023-08-30 21:06:35,049 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 21:06:35,055 ] 23 root - dropped duplicates
